"leaguename" "count" "average"
"The Battle Fury 2016" 34 42.004
"Dota Pit League Season Five" 34 39.5965
"Royal Arena" 28 39.0756666666667
"ESL One Genting 2017" 60 38.2046666666667
"Kiev Major" 328 37.5516666666667
"Persian Gulf Cup Season 3" 50 37.37
"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV" 38 37.3148333333333
"ProDotA Cup Series by Azubu.tv" 340 37.1498333333333
"SL i-League StarSeries S3" 307 37.05
"WellPlay Invitational by VitalBet" 47 36.8393333333333
"Dota 2 Asia Championships 2017" 214 36.32
"D2CL Season 6" 100 35.77
"AEF Season 1 Qualifiers" 157 34.3538333333333
"Dota 2 Professional League 2016" 43 34.2205
"WESG" 150 33.9978333333333
"KOD League Season 2" 81 33.8413333333333
"VivaWin Grand Slam Dota 2 Tournament" 69 31.3338333333333
"AES Summer League S1" 59 30.8126666666667
