"","patch","avg","count","winrate","sum","min","max","stddev"
"1","7.02","2171.71",544,0.5,11814100,528,5276,"767.09"
"2","7.01","2143.59",1152,0.5,24694190,442,4981,"720.03"
"3","7.00","2186.74",179,0.5,3914260,997,4956,"729.15"
"4","6.88","2158.47",6060,0.5,130803120,362,7468,"730.85"
"5","6.87","2145.06",1877,0.5,40262850,421,7470,"758.93"
"6","6.86","2168.03",1734,0.5,37593720,635,7875,"761.96"
"7","6.85","2226.09",1879,0.5,41828320,599,5408,"702.89"
"8","6.84","2299.80",1688,0.5,38820610,518,6632,"765.56"
"9","6.83","2315.24",2895,0.5,67026170,427,12034,"772.71"
"10","6.82","2428.45",1931,0.5,46893300,452,7356,"759.01"
"11","6.81","2131.55",2721,0.5,57999610,477,7006,"766.85"
"12","6.80","2173.98",865,0.5,18804970,442,7526,"783.18"
"13","6.79","1985.41",148,0.5,2938400,575,4238,"653.34"
"14","6.78","2102.03",181,0.5,3804680,826,5938,"756.67"
"15","6.77","2037.48",77,0.5,1568860,879,4107,"555.85"
"16","6.74","2551.77",69,0.5,1760720,1547,4641,"699.13"
