"","team_id","name","tag"
"1",3783507,"Pyro Raptor","PR"
"2",3322396,"ENTiTY ESPORTS","ETE"
"3",2836814,"Cool Candy","CoolCan"
"4",3482230,"Ranger Gaming","[RG]"
"5",2660970,"Hea Fun","HF"
"6",2835402,"Team Gorilla-","TG-"
"7",2891935,"Indo Badut","IB"
"8",2881728,"Team MisCommuNicaTioN","Miscom"
"9",1299826,"Moosesports!","Mooz"
"10",3047209,"ScareCrow","ScR"
"11",1975134,"EMIM","EMIM"
"12",2905843,"MDG.Lan Center","MDG.lan "
"13",3366879,"Platinum Gaming","PG"
"14",494197,"EXECRATION1","XctN"
"15",3470956,"SkakMat","SkakM"
"16",2556386,"RES NON VERBAA","RNV"
"17",982122,"Team Quetzal","QzL"
"18",711486,"Re!nCarnat€D ","R.!nC"
"19",1410456,"TeamCoast","mmc"
"20",2781555,"Haunt Till Die","HtD"
"21",3325406,"Romania","RO"
"22",2582666,"@AMPED3","@AMD3-"
"23",711796,"OguraYui","OguraYui"
"24",3338261,"NIGHT HUNTERS","NH"
"25",3544750,"Team Vigor","Tm'Vi"
"26",3927048,"TeRroRisT Team","Tt"
"27",2587309,"The United States","America"
"28",2745129,"-Dark Passage eSports-","DP"
"29",3692831,"Valkyries","VT"
"30",3731311,"Prelude","Prelude"
"31",3069495,"ZENNIT","ZN"
"32",3713339,"Nullstone Gaming","Linkens"
"33",1701225,"3c4sr","3c4sr"
"34",3586078,"Geek Fam","GeekFam"
"35",1476172,"Cafeteria fraiche","CF"
"36",3020072,"DUOBAO.INT","DUOBAO.INT"
"37",3582454,"El Diablos","ED"
"38",2845183,"RevengeSpirit-Reborn","Rvs-R"
"39",3752262,"GBK","GBK"
"40",2348833,"Thug_Life :V","T-L"
"41",496207,"Hello This is Dog '","HTID"
"42",2839985,"Double Combo Gaming","DCG"
"43",3321900,"DilecomTeam","DilecomT."
"44",2824755,"",""
"45",2842794,"Team Bad English","TBE"
"46",847876,"Become Dota King","BDK"
"47",1026207,"SuperNatural.int","[SN]"
"48",392681,"anima_","anima_"
"49",1642908,"Natus Vincere US","Na`Vi US"
"50",3812482,"THE OUTSTANDING BEAST","BEAST"
"51",883545,"Kawaii^","Kawaii"
"52",2866609,"Exploit","EXP"
"53",3849887,"Burning Crows","Crows"
"54",848279,"Dream OX","DOX"
"55",3885677,"BIANBULBOL","BB"
"56",709510,"Fast.M1x","F.M1x"
"57",1374236,"Ahead.","Ahead"
"58",1276923,"Leviathan'","LvT"
"59",2895887,"Anak Bintaro Ciledug Dansekitarnya","ABCD"
"60",2692980,"Mystify Gaming","Mystify"
"61",55316,"devedeset i devet posto","99%"
"62",1163855,"GOOMBA Gamingg","GOOMBA"
"63",2922498,"Velocity 5","V5"
"64",1836806,"the wings gaming","Wings"
"65",3261423,"Gruduk Gaming","GG"
"66",3650939,"LCA E-SPORT","LCA "
"67",3704046,"","AKz"
"68",3337522,"Butterfly Effect","B/E"
"69",1929695,"KappaGam!ng","Kappa"
"70",1908179,"DUOBAO","DUOBAO"
"71",3617620,"Gak Lapo-Lapo","GLL"
"72",3546532,"DNLTEAM","antimage"
"73",2501784,"Restu Ibu Gaming","RIG"
"74",3334225,"Experience Gaming","EXP"
"75",2895509,"Legacy  Gaming","Legacy"
"76",454891,"MEKA.Tt eSPORT","MEKA.Tt"
"77",2514381,"No Stun!","NS"
"78",2263934,"Anak Ondel Ondel","AON2"
"79",77666,"LGD-GAMING.int","LGD.int"
"80",2030300,"TUFF DOTA","TUFF"
"81",2701571,"DMC - Devil May Cry","DMC"
"82",882439,"Max King","MK"
"83",829574,"InVinCibleFlamezonE","IvC"
"84",2609939,"Soul of Indonesian","SOUL ID"
"85",3326875,"Faceless","fL"
"86",1550845,"Team-Burster","Burster"
"87",2870739,"Cum Back is R3al","CBiR"
"88",1291626,"XPC.gg","XPC.gg"
"89",3658595,"Sigma Win","<U+2211>W"
"90",2663631,"4Mer!caL (360 Gaming Zone) ","4Mer!caL"
"91",3929096,"G-Plus","G-Plus"
"92",713656,"E-sports Zenith Gaming","EzG"
"93",1319952,"who2bet.D2R","-who2bet"
"94",2349491,"Shoofazh Gaming","SG"
"95",3323563,"Blades of Chaos","BoC"
"96",314627,"Swagenteiger","SwG"
"97",3583077,"Wisanggeni","WNI"
"98",2032869,"Hzxzx","Hzxzx"
"99",1733968,"JJY","JY"
"100",3318843,"LW","LW"
"101",34,"DuskBin-Esports","Duskbin"
"102",1252828,"Scrofulous","scr"
"103",311079,"rebeldes","rbd"
"104",6684,"GizMo Gaming","GizMo"
"105",3783697,"Smoking Parrot","SP"
"106",3445022,"Ramzet DOGTO","RamzDog"
"107",2843230,"UNITED FOR EVER","[UFE]"
"108",2310316,"Bolt3","Bolt"
"109",3929338,"ZOo","ZoO"
"110",523845,"Bangbros420","Bangbros"
"111",2842442,"Koala Bears (pink)","KgB"
"112",1348175,"!RAZE E-SPORTS CLUB","RAZE"
"113",1146132,"SOUL KEEPER GAMING CENTER R","SKGCF"
"114",3259436,"Team Warcil","TeamWarciL"
"115",1886415,"Team 59","FiFty9"
"116",1440045,"SlayerGames","slayerG"
"117",2606139,"Team YP","TeamYP"
"118",2332600,"Dream place to Star","DptS"
"119",2907229,"Team Ascension","Asc"
"120",2052867,"The Peruvians","PERU"
"121",2872878,"OutPlayed","OutPlayed"
"122",3888811,"Demons By Night","Demons"
"123",3546387,"King of Dota","KOD"
"124",1934712,"Hao Fan Club","6k's fan"
"125",2085365,"-Ninjas-in-Pyjamas-","NiP"
"126",1510783,"Hidden Pool Kings","HPK"
"127",2843041,"Paragon5","PG5"
"128",2373906,"USBC1D1","USB"
"129",2336312,"Nejat Dota2 Group","ND2G"
"130",2791586,"EverNovaS","ENS"
"131",2900939,"HS",""
"132",2386699,"Luis + 4","Luis + 4"
"133",3586501,"4 humans and 1 homunculus","1HA4H"
"134",3727890,"TMNT","TMNT"
"135",1001763,"Nova","Nova"
"136",3330230,"Five Rejects",""
"137",3734159,"PROYEKAN GAMING","PG"
"138",2994709,"TIGER RACING  :V XDXDXDXDXD","Secret Old"
"139",2406808,"World's End","WE"
"140",2581440,"Team Germany!","DE"
"141",2743063,"ADAM'SON","ADAM'SON"
"142",1863244,"Dota Council","DC"
"143",3341663,"Return of the king","Rok"
"144",3661389,"NOS","N.O.S"
"145",1501259,"Unbelivable Gaming","UG"
"146",2776208,"White Fries Gaming","WF"
"147",2792717,"ARsonist","AR"
"148",2838180,"eForve","eForve"
"149",2886271,"Noobs. inc","N|C"
"150",3928852,"Eye of the storm","EOS"
"151",3332623,"Dark Karma","dK-"
"152",2319121,"RevivaL.eSports","RvL"
"153",763452,"The Bonk","The Bonk"
"154",2858848,"BILLING OBELIX","OB"
"155",2919372,"SynecDOche:TA","DOTA"
"156",2121414,"Phantom Troupes","pTroupes"
"157",1982184,"w4cdg","c4w"
"158",2916760,"South Indian Rejects","SiR-"
"159",2802820,"Ambitious Scrubs ","AS"
"160",2816249,"Patah hati","PHP"
"161",2893752,"Knights of Retalliation","KoR"
"162",3660389,"SICK GAMING ","[S.G]"
"163",2919891,"Fly To Win","FTW"
"164",868326,"Big.Ghost","BG"
"165",2750432,"Great Invader","GI"
"166",2486985,"The Weeee Weeee Tootie","WW2"
"167",1405222,"Happy Feeding","HF"
"168",414893,"shitbirds","sbs"
"169",3744975,"AVIUS REBORN","AR"
"170",2192525,"TongFu North America","TongFu."
"171",1540210,"MiGo.CN","migo"
"172",1722916,"Mosquito--repellent incense","MRI"
"173",3549060,"BUNDLE OF DREAM","BoD`"
"174",2338511,"Tasik Anti Rata","TAS"
"175",2308619,"Note","Note"
"176",3884181,"Team Error","Error"
"177",1242087,"Exile 5","x5"
"178",3812825,"Nova E-Sport","Nova"
"179",3149918,"Beyond Creation","BC"
"180",1351674,"Monkey Spanner","MK"
"181",2486559,"PUSSYALERT TINGLINGLING","PSYA"
"182",3587018,"UNLEASHED GAMING","uG|"
